stop_id,route_id,route_short_name,delay_min,hour_of_day,day_of_week,is_weekend,is_peak_hour,status,temperature_c,precipitation_mm,wind_speed_kmh,weather_code,is_raining,weather_category
1_59872,1_102619,F Line,3.12,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_2260,1_100275,8,-2.08,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_620,1_100045,150,-3.93,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_76310,1_102705,230,3.6,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_64569,1_100162,271,-1.58,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_3470,1_100210,36,1.42,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_575,1_102581,D Line,3.43,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_575,1_100264,70,2.4,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_26560,1_102574,40,-1.52,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_12770,1_100228,48,-1.58,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_22196,1_102736,H Line,-2.0,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_52306,1_102619,F Line,-2.92,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_51551,1_102736,H Line,-3.73,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_81254,1_102746,333,-1.07,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_25791,1_100214,372,0.0,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_55395,1_100006,107,-1.2,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_10912,1_100162,271,0.0,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_10912,1_100264,70,0.0,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_10912,1_100224,44,-1.35,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_71960,40_100511,542,0.0,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_75580,1_100205,348,-1.67,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_55430,1_100006,107,-1.8,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_49350,1_100026,128,3.65,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_99254,1_100045,150,-2.92,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_58112,1_102619,F Line,1.58,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_103,1_102745,G Line,-2.83,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_575,1_100001,1,1.12,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_575,1_100263,7,1.45,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_2850,1_100089,2,-24.28,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_13810,1_102581,D Line,-0.6,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_27420,1_100249,60,9.22,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_77460,1_100205,348,-0.73,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_84810,1_102752,223,2.1,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_280,40_100240,554,7.88,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_9605,1_100259,67,-1.85,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_59282,1_100072,181,-15.78,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_14280,1_102581,D Line,-2.45,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_620,40_100236,545,0.0,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_620,1_102754,256,0.0,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_10912,1_100447,49,4.98,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_10912,1_100264,70,4.03,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_81982,1_100196,331,1.52,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_2200,1_100001,1,7.2,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_46505,1_102619,F Line,0.0,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_51551,1_102736,H Line,-3.12,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_51651,1_102736,H Line,-2.05,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_320,40_100239,550,3.25,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_575,1_100028,13,0.35,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_25140,1_100254,65,6.7,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_56440,1_100005,106,-6.93,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_23905,1_100214,372,2.8,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_103,1_102745,G Line,10.37,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_481,1_102576,C Line,-1.9,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_60161,1_100042,148,-26.28,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_80692,1_100045,150,-0.3,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_84372,1_100048,153,5.45,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_51651,1_102736,H Line,3.58,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_17651,1_102747,61,-4.08,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_575,1_100089,2,5.85,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_72560,1_102704,250,15.45,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_8671,1_100275,8,0.0,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_72494,1_100160,269,-21.75,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_52306,1_102619,F Line,0.0,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_85531,1_102757,187,0.92,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_8403,1_100039,14,-0.28,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_25210,1_100225,45,2.73,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_52081,1_102736,H Line,-2.6,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_10912,40_100511,542,0.0,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_7750,1_102615,E Line,-2.98,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_59282,1_102717,165,-14.55,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
