stop_id,stop_name,lat,lon,direction
1_49730,8th Ave S & S Cloverdale St,47.527153,-122.322807,N
1_54201,Southcenter Blvd & 42nd Ave S,47.465733,-122.28183,E
1_43782,Martin L King Jr Way & E Cherry St,47.607601,-122.296249,NE
1_60150,SE Fairwood Blvd & 140th Ave SE,47.4557,-122.154167,E
1_43090,N 130th St & Dayton Ave N,47.723156,-122.352463,E
1_80763,Lind Ave SW & SW 39th St,47.445957,-122.223785,S
1_57854,Pacific Ave S & 1st Ave SE,47.268192,-122.239441,N
1_49350,42nd Ave S & S 152nd St,47.466984,-122.281075,N
1_32165,East Marginal Way S & 16th Ave S,47.533501,-122.312042,SE
1_17800,Meridian Ave N & N 120th St,47.716145,-122.334023,N
1_63404,Island Crest Way & SE 39th St,47.577034,-122.228302,NW
1_9605,Roosevelt Way NE & NE 45th St,47.660953,-122.317818,S
1_85906,S 294th St & S 292nd St,47.339889,-122.276962,SW
1_79229,68th Ave S & S 224th St,47.402248,-122.249481,S
1_2200,Queen Anne Ave N & W John St,47.619267,-122.35685,S
1_80124,Air Cargo Rd & S 156th St,47.463875,-122.29808,NW
1_72528,NE Cedar Park Cres & NE 100th St,47.68726,-122.019844,N
1_57804,15th St SW & O St SW,47.295601,-122.249031,E
1_40093,NE Sunset Blvd & Union Ave NE,47.503613,-122.163391,E
1_77116,NE Woodinville Duvall Rd & 228th Ave NE,47.760418,-122.03508,E
1_39983,SW Barton St & 25th Ave SW - Bay 3,47.521091,-122.365234,W
1_54971,NE 3rd St & Edmonds Ave NE,47.486195,-122.185135,E
1_21080,SW Roxbury St & 15th Ave SW - Bay 3,47.517303,-122.353569,E
1_22184,Delridge Way SW & SW Henderson St,47.523251,-122.360252,NW
1_59282,SE 320th St & 122nd Ave SE,47.315258,-122.177872,E
1_28287,N 39th St & Dayton Ave N,47.654091,-122.352684,E
1_85531,Federal Way Downtown Station - Bay 1,47.317051,-122.303543,SW
1_70529,Forbes Creek Dr & 108th Ave NE,47.695053,-122.197144,W
1_49572,SW 116th St & 1st Ave S,47.499546,-122.334229,W
1_23905,25th Ave NE & NE 65th St,47.676273,-122.300743,S
1_68160,NE 8th St & 143rd Ave NE,47.617042,-122.148941,E
1_41370,3rd Ave W & W Raye St,47.643425,-122.360786,N
1_32120,S Cloverdale St & 8th Ave S,47.526398,-122.322319,E
1_74714,Totem Lake Blvd & NE 124th St,47.709392,-122.176315,NW
1_82810,Main St & 112th Ave NE,47.610126,-122.191422,W
1_60428,Andover Park W & Strander Blvd,47.455502,-122.254272,N
1_30180,Carkeek Dr S & 40th Ave S,47.517364,-122.282356,SW
1_48670,1st Ave S & Normandy Park Dr SW,47.433166,-122.335678,S
1_70330,Market St & 20th Ave W,47.692959,-122.210121,S
1_59872,Oakesdale Ave SW & Seattle Sounders Fc Acs,47.462151,-122.232796,N
1_31970,California Ave SW & SW Spokane St,47.571793,-122.386871,S
1_80468,S 312th St & 23rd Ave S,47.322395,-122.304527,W
1_82680,100th Ave NE & Juanita Woodinville Way NE,47.721027,-122.20787,S
1_79872,SE 36th St & 132nd Ave SE,47.579369,-122.159866,E
1_18580,Dexter Ave N & 4th Ave N,47.643898,-122.345978,NW
1_58910,Auburn-Enumclaw Rd & 188th Ave SE,47.21785,-122.090324,SE
1_15540,SW Admiral Way & California Ave SW,47.581268,-122.386871,W
1_81749,Issaquah Pine Lake Rd SE & SE Issaquah-Fall City Rd,47.555473,-122.021736,NW
1_49554,Glendale Way S & 16th Ave S,47.499123,-122.312424,NW
1_71678,SE 24th St & 158th Ave SE,47.589077,-122.127998,W
1_65540,119th Ave SE & SE 47th St,47.562469,-122.180847,N
1_24290,34th Ave W & W Barrett St,47.647057,-122.400826,N
1_70691,120th Ave NE & NE 80th St,47.675766,-122.180344,N
1_59061,124th Ave SE & SE 300th Way,47.333584,-122.176201,N
1_19921,SW Avalon Way & SW Genesee St,47.564945,-122.372284,NE
1_45230,Park Ave N & N 6th St,47.491585,-122.202324,S
1_55020,Renton Ave S & S 128th St,47.487591,-122.233223,NW
1_49470,S 128th St & 24th Ave S,47.488636,-122.301659,E
1_9060,Waters Ave S & S Carver St,47.517746,-122.259682,
1_39464,55th Ave SW & SW Dakota St,47.566944,-122.402718,N
1_55150,Renton Ave S & S Bangor St,47.506912,-122.255013,NW
1_35440,NE 125th St & 30th Ave NE,47.719223,-122.297455,E
1_77580,5th Ave NE & NE 158th St,47.743668,-122.323883,S
1_9080,Waters Ave S & 61st Ave S,47.515766,-122.257126,
1_74735,NE 128th St & 116th Ave NE,47.714878,-122.186028,W
1_32439,Harbor Ave SW & Fauntleroy Ave SW,47.582436,-122.373581,SE
1_60710,Pacific Hwy S & S Dash Point Rd,47.335419,-122.31192,N
1_14280,15th Ave NW & NW 65th St,47.676861,-122.376671,N
1_59810,S Puget Dr & Benson Rd S,47.462681,-122.204758,NW
1_59936,S 21st St & Smithers Ave S,47.461086,-122.209587,W
1_82675,100th Ave NE & Simonds Rd NE,47.730339,-122.207939,S
1_42540,21st Ave SW & SW 330th St,47.305683,-122.361015,S
1_45360,Taylor Ave NW & NW 2nd St,47.484611,-122.219849,N
1_55430,51st Ave S & S Hazel St,47.504845,-122.270065,N
1_12760,E Cherry St & 24th Ave,47.60807,-122.300499,W
